"LegacySource","PartNumber","MfgNumberKept","OldMfgName","Decision","ExportVerdict","ExportMpns"
"Through Hole Parts#1098","601147","SFR25H0002202JR5","SFR25H0002202JR500","AlternateSources","Both active in Export (exact)","SFR25H0002202JR5; SFR25H0002202JR500"
"Through Hole Parts#1114","601166","SP20F100RJ","SP20F1000J","AlternateSources","Both active in Export (exact)","SP20F1000J; SP20F100RJ"
"Through Hole Parts#1163","601227","RC12JT56K0","RC12JB56K0","AlternateSources","Both active in Export (exact)","RC12JB56K0; RC12JT56K0; RC12KB56K0; RC12KT56K0"
"Through Hole Parts#1381","601465","BK-PCC1/2","BK/PCC-1/2-R","AlternateSources","Both active in Export (exact)","BK-PCC1/2; BK/PCC-1/2-R"
"Through Hole Parts#1382","601466","4116R-001-101","4116R-1-101LF","AlternateSources","Both active in Export (exact)","4116R-001-101; 4116R-1-101LF"
"Through Hole Parts#1501","601600","43JR20","43JR20E","AlternateSources","Both active in Export (exact)","43JR20; 43JR20E; 44F5212"
"Through Hole Parts#1661","601789","V8ZA05","V8ZA05P","AlternateSources","Both active in Export (exact)","V8ZA05; V8ZA05P"
"Through Hole Parts#1684","601816","MUR410RL","MUR410RLG","AlternateSources","Both active in Export (exact)","MUR410; MUR410G; MUR410RL; MUR410RLG"
"Through Hole Parts#1726","601890","CW005120RJS70","CW005120R0JB12","AlternateSources","Both active in Export (exact)","CW005120R0JB12; CW005120R0JE12; CW005120R0JE73; CW005120RJS70"
"Through Hole Parts#1815","611028","PS7113-1A","PS7113-1A-A","AlternateSources","Both active in Export (exact)","PS7113-1A; PS7113-1A-A; TLP3546(F); TLP3546A (F)"
"Through Hole Parts#1825","611044","SP02B","SPA02B","AlternateSources","Both active in Export (exact)","SP02B; SPA02B"
"Through Hole Parts#1164","601228","SP20F200RJ","SP20F2000J","KeepMfgNumber","Confirmed (exact)","SP-20F; SP20F2000JLF; SP20F200RJ"
"Through Hole Parts#1619","601734","PR03000201002JAC00","PRO35093NW10K00J","KeepMfgNumber","Confirmed (exact)","PR03000201002JAC00"
"Through Hole Parts#1640","601765","CD74HC40103E","CD74HC40105E","KeepMfgNumber","Confirmed (exact)","CD74HC40103E; CD74HC740103E; M74HC40103B1R"
"Through Hole Parts#1733","601901","MC74HC244AN","MC74HC244ANG","KeepMfgNumber","Confirmed (exact)","MC74HC244AN"
"Through Hole Parts#1857","611083","CW2PCT52A33R2F","CW2PCT52A33R20F","KeepMfgNumber","Confirmed (exact)","CW2PCT52A33R2F"
"Through Hole Parts#1883","611112","MUR880EG","WP934EB/2LGD","KeepMfgNumber","Confirmed (exact)","MUR880EG"
"Through Hole Parts#1884","611113","STTH30L06CT","OBSOLETE","KeepMfgNumber","Confirmed (exact)","STTH30L06CT; VS-HFA30TA60C-M3"
"Through Hole Parts#1893","611122","WP934EB/2GD","WP934EB/2LGD","KeepMfgNumber","Confirmed (exact)","WP934EB/2GD"
"Through Hole Parts#2124","611316","R-78K5.0-2.0L","RECOM POWER","KeepMfgNumber","Confirmed (exact)","R-78K5.0-2.0L"
"Through Hole Parts#1099","601148","B5922","B9522 ""SDX""","NeedsReview","Neither matches","2EXL10393; 2EXL10393A; B9522 ""SDX"",153360000"""
"Through Hole Parts#1196","601261","1N5231B-TP","1N5231B-TR","NeedsReview","Neither matches","1N5231B; 1N5231CRL; 1N5231CTR"
"Through Hole Parts#1199","601264","K101K15COGH53L2","K101K15COGF53L2","NeedsReview","Neither matches","K101K15C0GF53L2; K101K15C0GH53L2; SR151A101KAA; SR151A101KAR"
"Through Hole Parts#1268","601347","STQ3N45K3","STQRFM3N45K3","NeedsReview","Neither matches","RFM3N45"
"Through Hole Parts#1322","601427HT","818-135","818 135","NeedsReview","Neither matches",""
"Through Hole Parts#1411","601501","MTW32N20E","MTW32N20EG","NeedsReview","Neither matches","IRFP250NPBF"
"Through Hole Parts#1526","601627","818-128","818 128","NeedsReview","Neither matches",""
"Through Hole Parts#1561","601667","AD594CQ","AD595CQ","NeedsReview","Neither matches",""
"Through Hole Parts#1609","601722","818-136","818-130","NeedsReview","Neither matches",""
